image,name,bio
john-gray,Dr. John Gray,"John Gray is a Dean's Distinguished Professor of operations and business analytics at Fisher, where he arrived after earning his PhD from the Kenan-Flagler Business School at the University of North Carolina-Chapel Hill, following eight years in operations management at Procter & Gamble (during which he earned an MBA from Wake Forest University's evening program) and having completed two undergraduate degrees from Dartmouth College and its Thayer School of Engineering. From August 2022 to February 2024, he served as a part-time [consultant for the Office of Science and Technology Policy (OSTP) in the Executive Office of the President (EOP)](https://fisher.osu.edu/news/fishers-gray-appointed-position-executive-office-president), advising on pharmaceutical supply chain resilience. His research has been supported by numerous outside entities, including a current PI role on a Department of Defense subaward examining global pharmaceutical supply chains, a co-PI role on a $1.7 million two-year FDA contract (October 2019–September 2021), an earlier FDA subaward, and an NSF grant in the early 2010s. He teaches an elective he created, Strategic Global Sourcing (at the PhD, Executive, MBA, MSCM, and undergraduate levels), and Data Analysis (at the PhD, Executive, and MBA levels), winning a college teaching award for each; a student project from his elective produced the co-authored case [Scotts Miracle-Gro: The Spreader Sourcing Decision](https://www.iveypublishing.ca/s/product/scotts-miraclegro-the-spreader-sourcing-decision/01t5c00000Cwr9QAAR), now recognized as an ""Ivey Classic."" He serves as academic co-director of Fisher's Master of Supply Chain Management program and academic director of its PhD programs. His research has appeared in leading journals including Management Science, Organization Science, Decision Sciences, the Journal of Operations Management, the Journal of Supply Chain Management, and Production and Operations Management, earning him the Jack Meredith Best Paper Award, the Emerald Citations of Excellence Award, and the 2023 Distinguished Scholar Award from the OSCM Division of the Academy of Management; he has also served as Department Editor at the Journal of Operations Management, Senior Editor at Production and Operations Management, and is currently editing a special issue on pharmaceutical operations and supply chains. Finally, he [recently became President](https://fisher.osu.edu/news/gray-accepts-role-president-industry-studies-association) of the [Industry Studies Association](https://www.industrystudies.org/), having previously served as conference chair for its 2023 conference in Columbus."
laura-taylor-kale,Dr. Laura Taylor-Kale,"Dr. Laura Taylor-Kale is the Senior Fellow for Geoeconomics and Defense at the Council on Foreign Relations and founder and CEO of Catalytic Capital Strategies LLC, an advisory firm working with venture capital firms, defense, and deep technology companies. From 2023 to 2025, she served as the first presidentially-appointed, senate-confirmed Assistant Secretary of Defense for Industrial Base Policy, where she led all defense industrial strategy, investments, and planning — including publishing the first-ever National Defense Industrial Strategy and Implementation Plan, launching the DoD's largest other transaction contracting vehicle (the Defense Industrial Base Consortium), awarding a record $3.3 billion in grants through the Defense Production Act and the Industrial Base Fund, and expanding strategic investments in rare earth elements, critical materials, and solid rocket motors. She has also served as Deputy Assistant Secretary for Manufacturing in the International Trade Administration at the Department of Commerce, held positions at the World Bank and the U.S. Overseas Private Investment Corporation, and began her career as a State Department Foreign Service Officer with postings in India, Cote D'Ivoire, Afghanistan, and the World Bank. She is additionally a Senior Research Fellow at the Blue Center for Strategic Assessment at the Yale Jackson School of Global Affairs and a 2018 Zhi-Zhing Eisenhower Fellow in China, where she studied AI and technology innovation. Dr. Taylor-Kale holds a BA in economics from Smith College, an MPA from Princeton University, an MBA from New York University, and a PhD in management science and engineering from Stanford University, and is a life member of the Council on Foreign Relations and a frequent media commentator."
