id,option,session_name,date,day,start_time,end_time,meeting_point,description
EX1,1,Morning Excursion Option 1: DC Think Tank Tour,2026-06-03,Wednesday,8:00 AM,11:50 AM,"Science & Engineering Hall, B1 1270",
EX2,2,Morning Excursion Option 2: Walking Tour of the DC Mall,2026-06-03,Wednesday,9:30 AM,11:30 AM,"Lockkeeper's House, 17th & Constitution Ave NW","Join us for a walking tour of the National Mall, visiting many of the major monuments. The tour ends at the Lincoln Memorial. Participants can then walk to the Milken Institute for lunch and registration."
